t_vec,mach,alt,T_inf,qbar_inf,Re_inf,bl_state,q_conv,h_coeff,q_rad,q_net,T_e,T_recovery,T_t,T_te,T_wall:y=0.0003,T_wall:y=0.0010,T_wall:y=0.0016,T_wall:y=0.0022,T_wall:y=0.0029,T_wall:y=0.0035,T_wall:y=0.0041,T_wall:y=0.0048,T_wall:y=0.0054,T_wall:y=0.0060,T_wall:y=0.0067,T_wall:y=0.0073,T_wall:y=0.0079,T_wall:y=0.0086,T_wall:y=0.0092
0.9550000000000001,0.5982297600855602,97.72913492456854,287.51477038903175,25090.71929287319,2763200.1140168626,1,6916.8457366506655,462.7828886489694,-15.024298065235092,6901.821438585431,287.51477038903175,305.8831591987332,308.0938612274792,308.0938612274792,290.9369589257641,290.0672372064703,290.0034720401767,290.00008776759427,289.9999945452925,289.99999902587047,289.99999991402495,289.9999999885485,289.99999991402495,289.99999902587047,289.9999945452925,290.00008776759427,290.0034720401767,290.0672372064703,290.9369589257641
0.96,0.6017418635976636,98.78724613467972,287.5078928787826,25382.999157929098,2779157.886479422,1,7034.462791208392,464.8542410110417,-15.154845313795825,7019.307945894597,287.5078928787826,306.0921544191809,308.32882751878526,308.32882751878526,290.95953397474074,290.0694397147336,290.0036370483485,290.0000967613364,289.9999948122938,289.99999901605315,289.99999991180147,289.99999998814116,289.99999991180147,289.99999901605315,289.9999948122938,290.0000967613364,290.0036370483485,290.0694397147336,290.95953397474074
0.965,0.6052539671097671,99.84535734479093,287.50101537082304,25676.934210409498,2795112.5907902475,1,7153.207097486237,466.9217317364687,-15.287063862071212,7137.920033624166,287.50101537082304,306.3024056339745,308.56520073383336,308.56520073383336,290.9824780930488,290.07169232877294,290.0038071982214,290.0001061575846,289.9999951023869,289.99999900701306,289.9999999095622,289.9999999877239,289.9999999095622,289.99999900701306,289.9999951023869,290.0001061575846,290.0038071982214,290.07169232877294,290.9824780930488
0.97,0.6087660706218706,100.90346855490215,287.494137865153,25972.523809487888,2811064.2272854326,1,7273.080646419665,468.9853737944778,-15.420969183352495,7257.659677236313,287.494137865153,306.5139127540724,308.8029807708295,308.8029807708295,291.00579447828386,290.0739957973707,290.0039825997215,290.0001159682531,289.9999954165477,289.999998998809,289.9999999073093,289.99999998729675,289.9999999073093,289.999998998809,289.9999954165477,290.0001159682531,290.0039825997215,290.0739957973707,291.00579447828386
0.975,0.6122781741339741,101.96157976501335,287.4872603617725,26269.76731446976,2827012.796301042,1,7394.085387157985,471.0451799151487,-15.556576786120294,7378.528810371865,287.4872603617725,306.72667569043284,309.04216752797964,309.04216752797964,291.02948632849115,290.07635087425547,290.00416336425286,290.0001262054943,289.9999957557795,289.9999989915022,289.9999999050452,289.99999998685956,289.9999999050452,289.9999989915022,289.9999957557795,290.0001262054943,290.00416336425286,290.07635087425547,291.02948632849115
0.98,0.6157902776460776,103.01969097512456,287.4803828606815,26568.664084792625,2842958.2981731184,1,7516.223227209769,473.10116259385643,-15.693902213997154,7500.529324995772,287.4803828606815,306.9406943540142,309.28276090349016,309.28276090349016,291.0535568420267,290.0787583180805,290.0043496047037,290.0001368817013,289.99999612111344,289.9999989851562,289.99999990277223,289.9999999864124,289.99999990277223,289.9999989851562,289.99999612111344,290.0001368817013,290.0043496047037,290.0787583180805,291.0535568420267
0.985,0.6193023811581811,104.07780218523578,287.4735053618801,26869.213480026043,2858900.7332376903,1,7639.496032588728,475.1533340956167,-15.83296104570944,7623.663071543018,287.4735053618801,307.1559686557748,309.5247607955671,309.5247607955671,291.07800921741926,290.0812188924013,290.0045414354522,290.0001480095106,289.99999651360906,289.999998979837,289.99999990049315,289.99999998595524,289.99999990049315,289.999998979837,289.99999651360906,290.0001480095106,290.0045414354522,290.0812188924013,291.07800921741926
0.99,0.6228144846702847,105.13591339534699,287.4666278653682,27171.41485987151,2874840.1018307526,1,7763.905627960626,477.20170645932967,-15.973768895057821,7747.931859065568,287.4666278653682,307.3724985066729,309.7681671024168,309.7681671024168,291.1028466532332,290.0837333656537,290.0047389723728,290.0001596018054,289.9999969343549,289.9999989756133,289.9999998982107,289.99999998548816,289.9999998982107,289.9999989756133,289.9999969343549,290.0001596018054,290.0047389723728,290.0837333656537,291.1028466532332
0.995,0.6263265881823882,106.1940246054582,287.4597503711459,27475.267584162466,2890776.4042882826,1,7889.45379679104,479.24629150193374,-16.11634141089461,7873.337455380146,287.4597503711459,307.5902838176668,310.0129797222456,310.0129797222456,291.1280723479319,290.08630251113124,290.0049423328416,290.00017167171796,289.9999973844688,289.9999989725563,289.99999989592794,289.99999998501113,289.99999989592794,289.9999989725563,289.9999973844688,290.00017167171796,290.0049423328416,290.08630251113124,291.1280723479319
1.0,0.6298387009600028,107.25215316635293,287.45287276643677,27780.771772941192,2906709.679169721,1,8016.142590423597,481.2871055487674,-16.26069476316319,7999.881895660434,287.45287276643677,307.80932497803667,310.2591991025404,310.2591991025404,291.1536894997424,290.0889271069624,290.0051516357424,290.0001842326326,289.9999978650988,289.99999897073974,289.999999893648,289.99999998452427,289.999999893648,289.99999897073974,289.9999978650988,290.0001842326326,290.0051516357424,290.0889271069624,291.1536894997424
1.0050000000000001,0.6334169866948601,108.43419854448909,287.44518973216805,28093.381896317667,2922912.6645492907,1,8146.20316692175,483.35782161629373,-16.410315228193504,8129.792851693557,287.44518973216805,308.0330608740163,310.51077361348774,310.51077361348774,291.1797013076359,290.09160793608766,290.00536700147217,290.0001972981884,289.9999983774232,289.99999897024037,289.9999998913742,289.99999998402757,289.9999998913742,289.99999897024037,289.9999983774232,290.0001972981884,290.00536700147217,290.09160793608766,291.1797013076359
1.01,0.6369952724297173,109.6162439226252,287.43750670075656,28407.69638964879,2939112.1635211557,1,8277.450471327033,485.4246049725899,-16.56178305651789,8260.888688270516,287.43750670075656,308.25809863816573,310.76380639045067,310.76380639045067,291.2061190175727,290.0943457862395,290.0055885519469,290.00021088228243,289.9999989226515,289.9999989711376,289.99999988911014,289.99999998352115,289.99999988911014,289.9999989711376,289.9999989226515,290.00021088228243,290.0055885519469,290.0943457862395,291.2061190175727
1.0150000000000001,0.6405735581645746,110.79828930076137,287.4298236722023,28723.714512547976,2955308.1765122637,1,8409.886244836081,487.4874673856912,-16.715114665498,8393.171130170584,287.4298236722023,308.4844381672297,311.0182973153876,311.0182973153876,291.232945959775,290.09714147191096,290.00581641060677,290.000224999072,289.9999995020247,289.9999989735137,289.99999988685954,289.9999999830051,289.99999988685954,289.9999989735137,289.9999995020247,290.000224999072,290.00581641060677,290.09714147191096,291.232945959775
1.02,0.6441518438994317,111.98033467889748,287.4221406465054,29041.435524799224,2971500.703949523,1,8543.512185160767,489.5464204051631,-16.87032650974405,8526.641858651023,287.4221406465054,308.7120793579531,311.2742462702571,311.2742462702571,291.26018546382574,290.0999958125815,290.0060507024819,290.00023966297783,290.000000116816,289.99999897745397,289.99999988462633,289.9999999824796,289.99999988462633,289.99999897745397,290.000000116816,290.00023966297783,290.0060507024819,290.0999958125815,291.26018546382574
1.025,0.6477301296342888,113.16238005703359,287.4144576236657,29360.85868635726,2987689.7462598183,1,8678.329946694439,491.60147536610197,-17.027435081136446,8661.302511613303,287.4144576236657,308.9410221070804,311.5316531370176,311.5316531370176,291.28784085852624,290.1029096326924,290.00629155419784,290.00025488868704,290.00000076833123,289.99999898304674,289.9999998824146,289.99999998194477,289.9999998824146,289.99999898304674,290.00000076833123,290.00025488868704,290.00629155419784,290.1029096326924,291.28784085852624
1.03,0.6513084153691461,114.34442543516975,287.40677460368335,29681.983257347467,3003875.303869999,1,8814.341140679255,493.6526433930467,-17.186456908853586,8797.1546837704,287.40677460368335,309.1712663113564,311.79051779762784,311.79051779762784,291.3159154717555,290.1058837616218,290.0065390939813,290.0002706911561,290.00000145790943,289.99999899038335,289.9999998802288,289.9999999814008,289.9999998802288,289.99999899038335,290.00000145790943,290.0002706911561,290.0065390939813,290.1058837616218,291.3159154717555
1.035,0.6548867011040033,115.52647081330586,287.39909158655826,30004.808498065748,3020057.3772068806,1,8951.547335374113,495.699935403806,-17.3474085594106,8934.199926814703,287.39909158655826,309.40281186752566,312.0508401340464,312.0508401340464,291.3444126303298,290.1089190336597,290.0067934516655,290.00028708561376,290.00000218692355,289.99999899955833,289.99999987807354,289.9999999808478,289.99999987807354,289.99999899955833,290.00000218692355,290.00028708561376,290.0067934516655,290.1089190336597,291.3444126303298
1.04,0.6584649868388606,116.70851619144203,287.39140857229046,30329.333668978623,3036235.9666972486,1,9089.950056223755,497.7433621132084,-17.510306636706588,9072.439749587049,287.39140857229046,309.63565867233285,312.3126200282321,312.3126200282321,291.3733356598638,290.11201628798244,290.0070547586956,290.0003040875641,290.00000295678086,289.9999990106695,289.9999998759536,289.9999999802861,289.9999998759536,289.9999990106695,290.00000295678086,290.0003040875641,290.0070547586956,290.11201628798244,291.3733356598638
