t_vec,mach,alt,q_conv,q_net,T_recovery,T_wall:x=0.0000,T_wall:x=0.0010,T_wall:x=0.0020,T_wall:x=0.0030,T_wall:x=0.0040,T_wall:x=0.0050,T_wall:x=0.0060,T_wall:x=0.0070,T_wall:x=0.0080,T_wall:x=0.0090,T_wall:x=0.0100
8.475,2.350703588041196,22884.510691930805,25617.76345679688,25604.724538065257,439.9389674667151,292.90248117530086,292.72456678434753,292.5234806429829,292.30086179973256,292.05855295774927,291.7985838264934,291.5231519595597,291.23460216947416,290.9354043889643,290.6281302365457,290.3154285297818
8.48,2.3498361747825216,22896.404502549747,25549.109715787705,25536.109499165246,439.80072490567,292.893992875964,292.71656892902615,292.5160485141492,292.2940656898855,292.0524574131301,291.7932467794154,291.5186242372417,291.23092695783214,290.93261678539955,290.62625688672824,290.31448735202883
8.485,2.3489701468,22908.294577999997,25480.67737517316,25467.715732081546,439.66269347802006,292.88553204254913,292.70859705785836,292.5086406471527,292.28729185852364,292.0463818641631,291.7879272756277,291.51411142077677,291.2272638602485,290.9298383787323,290.6243897215152,290.3135492826381
8.49,2.3481041468,22920.184577999997,25412.87040509341,25399.947207233756,439.52766539288643,292.87709862094016,292.7006510878177,292.5012569518956,292.2805402022795,292.0403262523344,291.7826252512504,291.5096134568876,291.2236128334525,290.9270691361272,290.62252871883413,290.31261431052314
8.495000000000001,2.3472386369,22932.059875,25344.8169380233,25331.932053615783,439.38971221831457,292.8686933819681,292.69273094341554,292.4938973361406,292.27381063784713,292.03429050179665,291.77734064791554,291.5051302920912,291.21997383432125,290.9243090248619,290.6206738566896,290.3116824246323
8.5,2.3463731369,22943.934874999995,25277.107072456474,25264.260375785667,439.2529574231495,292.86031500237016,292.68483683549425,292.4865617165141,292.2671030814123,292.02827454016114,291.77207340290784,291.50066187479433,291.2163468197459,290.9215580123266,290.61882511316117,290.310753613951
8.505,2.3455095973,22955.800073000002,25209.736894426085,25196.928257867454,439.11702865088847,292.85196390801565,292.6769683438412,292.4792501110406,292.2604174532564,292.02227829443456,291.76682345401224,291.4962081524933,291.212731747313,290.9188160659774,290.616982466403,290.30982786750235
8.51,2.3446460973,22967.665073,25142.06192646789,25129.291221855983,438.97811650031923,292.84364022465076,292.66912549153346,292.47196235274805,292.2537537097187,292.01630169302234,291.7615907386453,291.4917690728152,291.2091285745329,290.9160831535562,290.61514589462826,290.3089051743466
8.515,2.3437836620337964,22979.519109089095,25074.82404551804,25062.09115037738,438.8407180190163,292.83534271057846,292.66130827148845,292.4646983828226,292.2471117549353,292.0103446770818,291.75637519463766,291.4873445832742,291.20553725903613,290.9133592428877,290.61331537617986,290.307985523576
8.52,2.3429212482751725,22991.37292370763,25007.929078814926,24995.23386743041,438.7045366818526,292.8270720835578,292.65351623263433,292.45745814751757,292.2404915186085,292.00440717384384,291.7511767643104,291.48293463153385,291.2019577584801,290.9106443019084,290.6114908894805,290.30706890433754
